Id,IsDeleted,CaseNumber,ContactId,AccountId,AssetId,ParentId,SuppliedName,SuppliedEmail,SuppliedPhone,SuppliedCompany,Type,Status,Reason,Origin,Subject,Priority,Description,IsClosed,ClosedDate,IsEscalated,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ContactPhone,ContactMobile,ContactEmail,ContactFax,LastViewedDate,LastReferencedDate,Employee_ID__c,Member_ID__c,Passport_ID__c,SSN__c
5001g000009TXImAAO,,00014292,0031g00000iE9OHAA0,0011g00000nAbtIAAS,,,,,,,Billing,Closed,Billing,Email,Question about my billing,Medium,I have a billing question related to my account.,1,2018-05-16T14:46:15.000+0000,,0051g000004BvFfAAK,2018-04-29T14:46:15.000+0000,0051g000004BvFfAAK,2018-05-16T14:46:15.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:08.000+0000,(555) 329-2970,(555) 599-8877,bud.testani@example.com,,,,000333558804,000330385815,000490362966,000-73-4285
5001g000009TXIqAAO,,00014296,0031g00000iE9OIAA0,0011g00000nAbtIAAS,,,,,,,Support,New,Support,Phone,Need help with installation,Medium,I have a service question and would like some assistance.,,,,0051g000004BvFfAAK,2020-03-15T23:27:41.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:08.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:08.000+0000,(555) 779-1258,(555) 596-3777,shelia.meroney@example.com,,,,000344090186,000702952206,000551235343,000-27-5556
5001g000009TXeYAAW,,00015642,0031g00000iE9VXAA0,0011g00000nAbutAAC,,,,,,,Claim,Closed,Claim,Phone,Status of claim,Low,I have claims question related to my account.,1,2011-08-24T23:34:06.000+0000,,0051g000004BvFfAAK,2011-08-03T23:34:06.000+0000,0051g000004BvFfAAK,2011-08-24T23:34:06.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 705-3820,(555) 763-5695,thad.theis@example.com,,,,000380201456,000265798018,000556325388,000-34-4744
5001g000009TXeZAAW,,00015643,0031g00000iE9VXAA0,0011g00000nAbutAAC,,,,,,,Enrollment,Closed,Enrollment,Phone,Enrollment question,Medium,I have an enrollment question related to my account.,1,2011-10-15T02:56:13.000+0000,,0051g000004BvFfAAK,2011-09-22T02:56:13.000+0000,0051g000004BvFfAAK,2011-10-15T02:56:13.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 705-3820,(555) 763-5695,thad.theis@example.com,,,,000380201456,000265798018,000556325388,000-34-4744
5001g000009TXeaAAG,,00015644,0031g00000iE9VXAA0,0011g00000nAbutAAC,,,,,,,Claim,Closed,Claim,Phone,Need copy of my claim,Medium,I have claims question related to my account.,1,2015-03-23T22:27:57.000+0000,,0051g000004BvFfAAK,2015-02-21T22:27:57.000+0000,0051g000004BvFfAAK,2015-03-23T22:27:57.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 705-3820,(555) 763-5695,thad.theis@example.com,,,,000380201456,000265798018,000556325388,000-34-4744
5001g000009TXebAAG,,00015645,0031g00000iE9VYAA0,0011g00000nAbuuAAC,,,,,,,Enrollment,Closed,Enrollment,Phone,Question about enrollment process,Medium,I have an enrollment question related to my account.,1,2008-02-25T02:34:13.000+0000,,0051g000004BvFfAAK,2008-02-22T02:34:13.000+0000,0051g000004BvFfAAK,2008-02-25T02:34:13.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 868-5241,(555) 685-8424,angelyn.cacciatore@example.com,,,,000478072855,000300409531,000952166582,000-14-6931
5001g000009TXecAAG,,00015646,0031g00000iE9VYAA0,0011g00000nAbuuAAC,,,,,,,Claim,Closed,Claim,Email,Question about my claim,Medium,I have claims question related to my account.,1,2009-02-19T23:52:51.000+0000,,0051g000004BvFfAAK,2009-02-17T23:52:51.000+0000,0051g000004BvFfAAK,2009-02-19T23:52:51.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 868-5241,(555) 685-8424,angelyn.cacciatore@example.com,,,,000478072855,000300409531,000952166582,000-14-6931
5001g000009TXedAAG,,00015647,0031g00000iE9VYAA0,0011g00000nAbuuAAC,,,,,,,Support,Closed,Support,Email,Question about installation,Medium,I have a service question and would like some assistance.,1,2017-09-21T17:37:26.000+0000,,0051g000004BvFfAAK,2017-09-02T17:37:26.000+0000,0051g000004BvFfAAK,2017-09-21T17:37:26.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 868-5241,(555) 685-8424,angelyn.cacciatore@example.com,,,,000478072855,000300409531,000952166582,000-14-6931
5001g000009TXeeAAG,,00015648,0031g00000iE9VZAA0,0011g00000nAbuuAAC,,,,,,,Support,Closed,Support,Email,Usage question,Medium,I have a service question and would like some assistance.,1,2015-11-06T23:36:22.000+0000,,0051g000004BvFfAAK,2015-10-20T23:36:22.000+0000,0051g000004BvFfAAK,2015-11-06T23:36:22.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 878-2869,(555) 582-2818,gertrud.tessendorf@example.com,,,,000416714324,000530068537,000818963102,000-87-1484
5001g000009TXefAAG,,00015649,0031g00000iE9VZAA0,0011g00000nAbuuAAC,,,,,,,Cancellation,Closed,Cancellation,Phone,Please cancel my subscription,Low,I need to cancel our account.,1,2014-01-27T15:52:28.000+0000,,0051g000004BvFfAAK,2014-01-12T15:52:28.000+0000,0051g000004BvFfAAK,2014-01-27T15:52:28.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 878-2869,(555) 582-2818,gertrud.tessendorf@example.com,,,,000416714324,000530068537,000818963102,000-87-1484
5001g000009TXegAAG,,00015650,0031g00000iE9VZAA0,0011g00000nAbuuAAC,,,,,,,Claim,Closed,Claim,Phone,Status of claim,Low,I have claims question related to my account.,1,2017-08-09T18:10:26.000+0000,,0051g000004BvFfAAK,2017-07-13T18:10:26.000+0000,0051g000004BvFfAAK,2017-08-09T18:10:26.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 878-2869,(555) 582-2818,gertrud.tessendorf@example.com,,,,000416714324,000530068537,000818963102,000-87-1484
5001g000009TXehAAG,,00015651,0031g00000iE9VaAAK,0011g00000nAbuuAAC,,,,,,,Cancellation,Closed,Cancellation,Phone,Cancel my subscription,High,I need to cancel our account.,1,2018-07-10T18:49:23.000+0000,,0051g000004BvFfAAK,2018-06-27T18:49:23.000+0000,0051g000004BvFfAAK,2018-07-10T18:49:23.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 124-1253,(555) 884-9790,margo.soundara@example.com,,,,000578782328,000613148885,000305820350,000-62-8608
5001g000009TXeiAAG,,00015652,0031g00000iE9VaAAK,0011g00000nAbuuAAC,,,,,,,Cancellation,Closed,Cancellation,Phone,Need to cancel my service,Medium,I need to cancel our account.,1,2020-03-13T02:04:25.000+0000,,0051g000004BvFfAAK,2020-02-25T02:04:25.000+0000,0051g000004BvFfAAK,2020-03-13T02:04:25.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 124-1253,(555) 884-9790,margo.soundara@example.com,,,,000578782328,000613148885,000305820350,000-62-8608
5001g000009TXejAAG,,00015653,0031g00000iE9VaAAK,0011g00000nAbuuAAC,,,,,,,Claim,Closed,Claim,Email,Status of claim,Medium,I have claims question related to my account.,1,2019-06-24T15:20:40.000+0000,,0051g000004BvFfAAK,2019-06-01T15:20:40.000+0000,0051g000004BvFfAAK,2019-06-24T15:20:40.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 124-1253,(555) 884-9790,margo.soundara@example.com,,,,000578782328,000613148885,000305820350,000-62-8608
5001g000009TXekAAG,,00015654,0031g00000iE9VbAAK,0011g00000nAbuvAAC,,,,,,,Claim,Closed,Claim,Web,Status of claim,High,I have claims question related to my account.,1,2015-04-17T02:36:34.000+0000,,0051g000004BvFfAAK,2015-03-25T02:36:34.000+0000,0051g000004BvFfAAK,2015-04-17T02:36:34.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 670-2048,(555) 310-8295,rosalie.boultinghouse@example.com,,,,000763642128,000663001084,000617049037,000-21-2163
5001g000009TXelAAG,,00015655,0031g00000iE9VbAAK,0011g00000nAbuvAAC,,,,,,,Billing,Closed,Billing,Web,My invoice,Low,I have a billing question related to my account.,1,2013-06-23T20:39:12.000+0000,,0051g000004BvFfAAK,2013-06-07T20:39:12.000+0000,0051g000004BvFfAAK,2013-06-23T20:39:12.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 670-2048,(555) 310-8295,rosalie.boultinghouse@example.com,,,,000763642128,000663001084,000617049037,000-21-2163
5001g000009TXemAAG,,00015656,0031g00000iE9VbAAK,0011g00000nAbuvAAC,,,,,,,Support,Closed,Support,Web,Need help with usage,Medium,I have a service question and would like some assistance.,1,2016-04-10T22:36:25.000+0000,,0051g000004BvFfAAK,2016-03-14T22:36:25.000+0000,0051g000004BvFfAAK,2016-04-10T22:36:25.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 670-2048,(555) 310-8295,rosalie.boultinghouse@example.com,,,,000763642128,000663001084,000617049037,000-21-2163
5001g000009TXenAAG,,00015657,0031g00000iE9VcAAK,0011g00000nAbuvAAC,,,,,,,Claim,Closed,Claim,Phone,Question about my claim,Medium,I have claims question related to my account.,1,2012-07-10T02:45:04.000+0000,,0051g000004BvFfAAK,2012-06-24T02:45:04.000+0000,0051g000004BvFfAAK,2012-07-10T02:45:04.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 996-6181,(555) 958-7405,lieselotte.shaffren@example.com,,,,000673424143,000335649176,000633625481,000-12-5351
5001g000009TXeoAAG,,00015658,0031g00000iE9VdAAK,0011g00000nAbuvAAC,,,,,,,Cancellation,Closed,Cancellation,Web,Service cancellation,Medium,I need to cancel our account.,1,2015-11-23T23:06:19.000+0000,,0051g000004BvFfAAK,2015-11-17T23:06:19.000+0000,0051g000004BvFfAAK,2015-11-23T23:06:19.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 759-5530,(555) 234-9534,william.kirchner@example.com,,,,000282194607,000547034940,000358607018,000-48-5880
5001g000009TXepAAG,,00015659,0031g00000iE9VdAAK,0011g00000nAbuvAAC,,,,,,,Enrollment,Closed,Enrollment,Phone,Need to enroll,Medium,I have an enrollment question related to my account.,1,2019-04-30T15:46:24.000+0000,,0051g000004BvFfAAK,2019-04-21T15:46:24.000+0000,0051g000004BvFfAAK,2019-04-30T15:46:24.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 759-5530,(555) 234-9534,william.kirchner@example.com,,,,000282194607,000547034940,000358607018,000-48-5880
5001g000009TXeqAAG,,00015660,0031g00000iE9VeAAK,0011g00000nAbuwAAC,,,,,,,Support,Closed,Support,Email,Error message problem,High,I have a service question and would like some assistance.,1,2017-01-16T03:00:13.000+0000,,0051g000004BvFfAAK,2016-12-29T03:00:13.000+0000,0051g000004BvFfAAK,2017-01-16T03:00:13.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:42.000+0000,(555) 651-7989,(555) 752-8332,cecily.whaley@example.com,,,,000935787878,000838821665,000246377092,000-35-5676
5001g000009TXjZAAW,,00015953,0031g00000iE9XGAA0,0011g00000nAbvIAAS,,,,,,,Cancellation,Closed,Cancellation,Email,Please cancel my subscription,Medium,I need to cancel our account.,1,2018-10-24T18:28:04.000+0000,,0051g000004BvFfAAK,2018-10-09T18:28:04.000+0000,0051g000004BvFfAAK,2018-10-24T18:28:04.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 266-8626,(555) 321-1836,cletus.montavon@example.com,,,,000803149099,000648828895,000830876156,000-44-2557
5001g000009TXjaAAG,,00015954,0031g00000iE9XGAA0,0011g00000nAbvIAAS,,,,,,,Support,Closed,Support,Web,Installation question,Low,I have a service question and would like some assistance.,1,2013-08-04T23:27:42.000+0000,,0051g000004BvFfAAK,2013-07-30T23:27:42.000+0000,0051g000004BvFfAAK,2013-08-04T23:27:42.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 266-8626,(555) 321-1836,cletus.montavon@example.com,,,,000803149099,000648828895,000830876156,000-44-2557
5001g000009TXjbAAG,,00015955,0031g00000iE9XGAA0,0011g00000nAbvIAAS,,,,,,,Other,Closed,Other,Phone,Need assistance,Medium,I need some general assistance related to our account.,1,2006-09-05T22:31:25.000+0000,,0051g000004BvFfAAK,2006-08-10T22:31:25.000+0000,0051g000004BvFfAAK,2006-09-05T22:31:25.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 266-8626,(555) 321-1836,cletus.montavon@example.com,,,,000803149099,000648828895,000830876156,000-44-2557
5001g000009TXjcAAG,,00015956,0031g00000iE9XHAA0,0011g00000nAbvIAAS,,,,,,,Support,Closed,Support,Web,Error message problem,Low,I have a service question and would like some assistance.,1,2017-12-05T18:19:08.000+0000,,0051g000004BvFfAAK,2017-12-02T18:19:08.000+0000,0051g000004BvFfAAK,2017-12-05T18:19:08.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 502-6580,(555) 588-8033,jarvis.agbayani@example.com,,,,000451648424,000728042568,000134231744,000-24-4018
5001g000009TXjdAAG,,00015957,0031g00000iE9XHAA0,0011g00000nAbvIAAS,,,,,,,Support,Closed,Support,Phone,Setup question,Medium,I have a service question and would like some assistance.,1,2006-11-30T22:38:33.000+0000,,0051g000004BvFfAAK,2006-11-19T22:38:33.000+0000,0051g000004BvFfAAK,2006-11-30T22:38:33.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 502-6580,(555) 588-8033,jarvis.agbayani@example.com,,,,000451648424,000728042568,000134231744,000-24-4018
5001g000009TXjeAAG,,00015958,0031g00000iE9XHAA0,0011g00000nAbvIAAS,,,,,,,Claim,Closed,Claim,Web,Need copy of my claim,Medium,I have claims question related to my account.,1,2016-12-25T02:56:21.000+0000,,0051g000004BvFfAAK,2016-12-09T02:56:21.000+0000,0051g000004BvFfAAK,2016-12-25T02:56:21.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 502-6580,(555) 588-8033,jarvis.agbayani@example.com,,,,000451648424,000728042568,000134231744,000-24-4018
5001g000009TXjfAAG,,00015959,0031g00000iE9XIAA0,0011g00000nAbvJAAS,,,,,,,Enrollment,Closed,Enrollment,Phone,Status of enrollment,Medium,I have an enrollment question related to my account.,1,2019-04-01T16:09:23.000+0000,,0051g000004BvFfAAK,2019-03-29T16:09:23.000+0000,0051g000004BvFfAAK,2019-04-01T16:09:23.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 126-3742,(555) 428-1458,fanny.swyers@example.com,,,,000774796567,000519359710,000873743068,000-47-2641
5001g000009TXjgAAG,,00015960,0031g00000iE9XJAA0,0011g00000nAbvJAAS,,,,,,,Support,Closed,Support,Phone,Question about setup,Medium,I have a service question and would like some assistance.,1,2003-06-23T17:57:52.000+0000,,0051g000004BvFfAAK,2003-06-03T17:57:52.000+0000,0051g000004BvFfAAK,2003-06-23T17:57:52.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 171-1948,(555) 947-8626,mozella.bowle@example.com,,,,000984792476,000908339148,000652592632,000-48-6151
5001g000009TXjhAAG,,00015961,0031g00000iE9XKAA0,0011g00000nAbvJAAS,,,,,,,Support,Closed,Support,Phone,Warning message problem,High,I have a service question and would like some assistance.,1,2015-02-07T00:10:06.000+0000,,0051g000004BvFfAAK,2015-01-29T00:10:06.000+0000,0051g000004BvFfAAK,2015-02-07T00:10:06.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 234-2371,(555) 718-4669,randee.dykhoff@example.com,,,,000629699410,000230662497,000602007088,000-37-7522
5001g000009TXjiAAG,,00015962,0031g00000iE9XKAA0,0011g00000nAbvJAAS,,,,,,,Claim,Closed,Claim,Email,Need copy of my claim,High,I have claims question related to my account.,1,2015-08-09T19:43:26.000+0000,,0051g000004BvFfAAK,2015-08-06T19:43:26.000+0000,0051g000004BvFfAAK,2015-08-09T19:43:26.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 234-2371,(555) 718-4669,randee.dykhoff@example.com,,,,000629699410,000230662497,000602007088,000-37-7522
5001g000009TXjjAAG,,00015963,0031g00000iE9XKAA0,0011g00000nAbvJAAS,,,,,,,Enrollment,Closed,Enrollment,Web,Question about enrollment process,Low,I have an enrollment question related to my account.,1,2013-08-04T21:52:31.000+0000,,0051g000004BvFfAAK,2013-07-29T21:52:31.000+0000,0051g000004BvFfAAK,2013-08-04T21:52:31.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 234-2371,(555) 718-4669,randee.dykhoff@example.com,,,,000629699410,000230662497,000602007088,000-37-7522
5001g000009TXjkAAG,,00015964,0031g00000iE9XLAA0,0011g00000nAbvJAAS,,,,,,,Enrollment,Closed,Enrollment,Phone,Enrollment dates,High,I have an enrollment question related to my account.,1,2016-03-17T16:55:26.000+0000,,0051g000004BvFfAAK,2016-03-14T16:55:26.000+0000,0051g000004BvFfAAK,2016-03-17T16:55:26.000+0000,0051g000004BvFfAAK,2020-05-20T18:19:44.000+0000,(555) 205-5056,(555) 844-8153,alba.fiske@example.com,,,,000528892884,000426857278,000915062050,000-39-7942
