Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Employee_ID__c,Member_ID__c,Passport_ID__c,SSN__c
0031g00000iE9OHAA0,,,0011g00000nAbtIAAS,Testani,Bud,,Bud Testani,347 N Pass Ave,Burbank,CA,915053859,US,,,,"{""city"":""Burbank"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""915053859"",""state"":""CA"",""street"":""347 N Pass Ave""}",347 N Pass Ave,Burbank,CA,915053859,US,,,,"{""city"":""Burbank"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""915053859"",""state"":""CA"",""street"":""347 N Pass Ave""}",(555) 329-2970,,(555) 599-8877,(555) 263-4380,,,,bud.testani@example.com,,,,Web,1959-02-15,,0051g000004BvFfAAK,2014-09-02T23:10:40.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:41.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:42.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9OHAA0,,,Pending,,000333558804,000330385815,000490362966,000-73-4285
0031g00000iE9OIAA0,,,0011g00000nAbtIAAS,Meroney,Shelia,,Shelia Meroney,347 N Pass Ave,Burbank,CA,915053859,US,,,,"{""city"":""Burbank"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""915053859"",""state"":""CA"",""street"":""347 N Pass Ave""}",347 N Pass Ave,Burbank,CA,915053859,US,,,,"{""city"":""Burbank"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""915053859"",""state"":""CA"",""street"":""347 N Pass Ave""}",(555) 779-1258,,(555) 596-3777,(555) 575-1567,,,,shelia.meroney@example.com,,,,Partner Referral,1989-11-25,,0051g000004BvFfAAK,2016-10-26T15:27:46.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:41.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:42.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9OIAA0,,,Pending,,000344090186,000702952206,000551235343,000-27-5556
0031g00000iE7a9AAC,,,0011g00000nAbvqAAC,Bicknase,Leanora,,Leanora Bicknase,"Av. Pres. Juscelino Kubitschek, 2041, 3o Piso - Itaim Bibi",Sao Paulo,SP,04543-011,BR,,,,"{""city"":""Sao Paulo"",""country"":""BR"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""04543-011"",""state"":""SP"",""street"":""Av. Pres. Juscelino Kubitschek, 2041, 3o Piso - Itaim Bibi""}","Av. Pres. Juscelino Kubitschek, 2041, 3o Piso - Itaim Bibi",Sao Paulo,SP,04543-011,BR,,,,"{""city"":""Sao Paulo"",""country"":""BR"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""04543-011"",""state"":""SP"",""street"":""Av. Pres. Juscelino Kubitschek, 2041, 3o Piso - Itaim Bibi""}",(555) 529-3286,,(555) 125-9284,(555) 151-5496,,,,leanora.bicknase@example.com,,,,Partner Referral,1959-09-07,,0051g000004BvFfAAK,2012-12-09T00:12:51.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:50.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:50.000+0000,,,,2020-05-20T18:18:51.000+0000,2020-05-20T18:18:51.000+0000,,,,/services/images/photo/0031g00000iE7a9AAC,,,Pending,,000366549427,000304835847,000919907181,000-95-7807
0031g00000iE7aAAAS,,,0011g00000nAbvqAAC,Stockbridge,Raquel,,Raquel Stockbridge,"Av. Pres. Juscelino Kubitschek, 2041, 3o Piso - Itaim Bibi",Sao Paulo,SP,04543-011,BR,,,,"{""city"":""Sao Paulo"",""country"":""BR"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""04543-011"",""state"":""SP"",""street"":""Av. Pres. Juscelino Kubitschek, 2041, 3o Piso - Itaim Bibi""}","Av. Pres. Juscelino Kubitschek, 2041, 3o Piso - Itaim Bibi",Sao Paulo,SP,04543-011,BR,,,,"{""city"":""Sao Paulo"",""country"":""BR"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""04543-011"",""state"":""SP"",""street"":""Av. Pres. Juscelino Kubitschek, 2041, 3o Piso - Itaim Bibi""}",(555) 299-4781,,(555) 668-8512,(555) 736-6606,,,,raquel.stockbridge@example.com,,,,Phone Inquiry,1983-06-20,,0051g000004BvFfAAK,2019-12-16T16:18:36.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:50.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:50.000+0000,,,,2020-05-20T18:18:51.000+0000,2020-05-20T18:18:51.000+0000,,,,/services/images/photo/0031g00000iE7aAAAS,,,Pending,,000276769417,000311039668,000996170644,000-15-7079
0031g00000iE9JVAA0,,,0011g00000nAbsGAAS,Latzke,Georgeann,,Georgeann Latzke,1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",(555) 442-9722,,(555) 621-8480,(555) 411-5288,,,,georgeann.latzke@example.com,,,,Phone Inquiry,1998-11-14,,0051g000004BvFfAAK,2016-12-08T20:43:46.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JVAA0,,,Pending,,000461540627,000275414476,000467776189,000-29-8300
0031g00000iE9JWAA0,,,0011g00000nAbsGAAS,Burns,Calista,,Calista Burns,1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",(555) 950-4133,,(555) 608-2875,(555) 795-9577,,,,calista.burns@example.com,,,,Phone Inquiry,1945-06-12,,0051g000004BvFfAAK,2010-09-03T19:13:18.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JWAA0,,,Pending,,000259810644,000541252760,000962062568,000-77-8650
0031g00000iE9JXAA0,,,0011g00000nAbsGAAS,Risius,Marianne,,Marianne Risius,1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",(555) 479-7519,,(555) 892-5152,(555) 544-4480,,,,marianne.risius@example.com,,,,Other,1997-12-04,,0051g000004BvFfAAK,2012-02-24T18:57:52.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JXAA0,,,Pending,,000733128698,000226068891,000249426839,000-54-9448
0031g00000iE9JYAA0,,,0011g00000nAbsGAAS,Burdine,Nancy,,Nancy Burdine,1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",(555) 741-6050,,(555) 565-6735,(555) 812-8985,,,,nancy.burdine@example.com,,,,Partner Referral,1964-04-05,,0051g000004BvFfAAK,2018-04-10T20:11:17.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JYAA0,,,Pending,,000424839398,000307392819,000188791195,000-89-7946
0031g00000iE9JZAA0,,,0011g00000nAbsGAAS,Mais,Kermit,,Kermit Mais,1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",(555) 970-1229,,(555) 391-2806,(555) 472-1563,,,,kermit.mais@example.com,,,,Partner Referral,1979-07-23,,0051g000004BvFfAAK,2004-03-09T03:30:32.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JZAA0,,,Pending,,000658662930,000128151361,000598351415,000-44-6669
0031g00000iE9JaAAK,,,0011g00000nAbsGAAS,Rayman,Soon,,Soon Rayman,1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",1 Penn Plaza Concourse Level,New York,NY,101190002,US,,,,"{""city"":""New York"",""country"":""US"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101190002"",""state"":""NY"",""street"":""1 Penn Plaza Concourse Level""}",(555) 832-2885,,(555) 180-4290,(555) 216-1948,,,,soon.rayman@example.com,,,,Partner Referral,2006-03-06,,0051g000004BvFfAAK,2009-02-27T18:13:07.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,0051g000004BvFfAAK,2020-05-20T18:18:39.000+0000,,,,,,,,,/services/images/photo/0031g00000iE9JaAAK,,,Pending,,000677694903,000644479188,000694199653,000-24-9362
